"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
2,"AREQUIPA",1,27,3,2,1,66,2,2,2,250,90,1,3,1,2,2,2,2,1,1,2,1,2
2,"AREQUIPA",2,27,3,2,2,72,2,2,4,900,144,1,3,1,2,2,2,2,1,1,3,1,2
2,"AREQUIPA",1,31,3,2,1,66,2,2,2,250,70,1,3,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",1,20,4,2,5,48,2,1,2,360,0,1,2,1,2,2,2,2,1,2,3,1,2
3,"AREQUIPA",2,29,3,2,5,48,2,2,4,930,0,1,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,24,3,2,5,60,2,1,4,800,0,1,1,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,22,3,2,5,60,2,1,3,300,0,1,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,21,3,2,5,54,2,2,4,930,0,2,1,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",1,24,3,2,6,84,2,1,4,930,240,2,1,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,21,3,2,3,66,2,1,2,200,0,2,1,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",2,21,3,2,5,48,2,2,4,930,0,2,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,22,3,2,5,60,2,2,4,930,0,2,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,24,3,2,5,60,2,1,4,930,0,2,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,23,3,2,12,48,2,1,4,930,0,2,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,24,3,2,21,50,2,1,4,930,0,2,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,21,3,1,30,48,1,1,4,930,0,1,1,1,2,2,2,2,1,1,4,3,2
3,"AREQUIPA",1,46,3,2,3,48,1,2,4,930,0,1,1,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,35,3,2,2,30,1,1,3,200,0,2,2,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,33,3,2,2,66,2,1,2,200,0,2,1,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,33,4,2,10,60,1,1,2,300,0,1,2,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,28,3,2,8,55,2,2,3,400,0,2,2,1,2,2,2,2,1,1,4,3,2
3,"AREQUIPA",2,44,3,2,5,60,2,2,4,930,240,2,1,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,24,3,2,3,54,2,1,2,200,0,2,1,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,22,3,2,4,60,2,1,4,930,0,2,1,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",2,25,3,1,NA,48,2,2,4,930,0,2,1,1,2,2,2,2,1,2,4,2,2
3,"AREQUIPA",1,26,3,2,5,91,2,1,4,900,540,2,3,1,2,2,2,2,1,2,4,1,2
3,"AREQUIPA",2,18,3,2,6,12,1,1,2,140,20,2,2,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,26,3,2,8,24,1,1,1,120,10,1,2,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,33,3,2,5,52,1,2,2,250,0,1,2,1,2,2,2,2,1,1,4,3,2
3,"AREQUIPA",1,24,3,2,8,72,1,1,1,60,0,2,2,1,2,2,2,2,1,1,5,1,2
3,"AREQUIPA",2,31,3,2,20,10,1,2,1,80,0,2,2,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,33,3,2,50,72,2,2,4,1000,0,2,2,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,34,3,2,50,79,2,2,4,1350,0,2,2,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,23,3,2,4,20,2,2,4,900,0,2,3,1,2,2,2,2,1,1,3,3,1
3,"AREQUIPA",2,23,3,2,NA,58,2,2,4,1200,84,2,2,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,33,3,2,5,54,1,2,2,245,0,2,1,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,25,3,2,40,53,1,2,3,600,24,2,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",1,29,3,2,40,53,1,2,3,505,24,2,1,1,2,2,2,2,1,1,4,1,1
3,"AREQUIPA",2,22,3,2,3,48,2,2,2,812,42,2,3,2,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,22,4,2,8,50,2,2,2,250,20,2,3,1,2,2,2,2,1,2,3,1,2
3,"AREQUIPA",2,51,3,2,3,64,1,1,3,375,60,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,45,3,2,50,51,1,2,3,465,105,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,25,3,2,50,16,1,1,1,35,7,2,3,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",1,23,3,1,10,66,1,2,4,1200,150,2,2,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",2,20,3,1,NA,30,2,2,3,200,0,2,1,1,2,2,2,2,1,1,4,1,2
2,"AREQUIPA",2,29,3,2,3,55,1,2,3,350,0,1,3,1,2,2,2,2,1,2,2,1,1
3,"AREQUIPA",1,26,4,2,9,56,1,2,4,930,49,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,37,3,2,10,60,2,2,4,1500,0,1,4,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",2,32,3,2,4,66,2,2,4,650,0,1,3,1,2,2,2,2,1,1,5,1,2
3,"AREQUIPA",1,27,3,2,3,84,2,2,3,450,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,33,3,2,3,84,2,2,3,425,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,28,4,1,2,60,2,2,2,220,150,1,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",2,40,6,2,1,60,2,2,2,200,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,34,4,2,3,60,2,2,2,258,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,42,4,2,4,58,1,2,2,220,0,2,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",2,19,3,2,6,60,2,2,2,230,0,2,3,2,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",2,18,3,1,12,35,2,2,2,150,49,2,2,2,2,2,2,2,1,1,5,1,2
2,"AREQUIPA",1,43,4,2,1,60,2,2,4,1500,0,1,3,1,2,2,2,2,1,1,2,1,2
3,"AREQUIPA",2,48,4,2,1,55,1,2,2,180,0,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,20,3,2,4,84,2,2,4,700,180,1,2,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,22,3,2,3,91,2,2,3,420,210,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,20,3,2,10,84,2,2,4,800,150,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,17,3,2,2,84,2,2,2,100,63,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,27,3,2,2,54,2,2,2,450,0,1,3,1,2,2,2,2,1,1,3,2,2
2,"CALLAO",1,33,3,2,4,84,2,2,1,50,0,1,2,1,2,2,2,2,1,1,3,3,2
2,"CALLAO",1,32,4,2,4,32,2,2,1,60,0,1,3,1,2,2,2,2,1,1,2,2,2
2,"CALLAO",1,30,4,2,4,84,2,2,1,50,0,1,3,1,2,2,2,2,1,1,2,2,2
2,"CALLAO",1,31,3,2,3,72,2,2,3,600,0,2,3,1,2,2,2,2,1,1,3,2,2
2,"CALLAO",2,25,3,2,3,48,2,2,3,410,0,2,3,1,2,2,2,2,1,1,3,2,2
2,"CALLAO",2,27,3,2,4,72,2,2,3,600,0,2,3,1,2,2,2,2,1,1,3,2,2
2,"CALLAO",1,28,3,1,3,72,2,2,3,600,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"CALLAO",1,23,4,2,40,51,2,2,3,300,0,1,1,1,2,2,2,2,1,1,3,1,2
3,"CALLAO",1,25,4,2,13,36,1,2,2,200,28,2,1,1,2,2,2,2,1,1,4,1,2
3,"CALLAO",2,42,3,2,2,54,2,2,2,180,0,1,3,1,2,2,2,2,1,1,3,1,2
3,"CALLAO",1,21,4,2,2,76,2,2,1,40,0,1,3,1,2,2,2,2,1,1,3,1,2
